name,amp,mass,material,library,bounciness,resonance
trapezoidal_table,0.5,200,hardwood,models_core.json,0.6,0.65
chista_slice_of_teak_table,0.5,180,hardwood,models_core.json,0.6,0.65
glass_table_round,0.6,200,glass,models_core.json,0.6,0.65
glass_table,0.6,200,glass,models_core.json,0.6,0.65
yellow_side_chair,0.1,20,wood,models_core.json,0.6,0.65
red_side_chair,0.1,20,wood,models_core.json,0.6,0.65
table_square,0.5,200,metal,models_core.json,0.6,0.65
marble_table,0.2,200,ceramic,models_core.json,0.6,0.65
vase_06,1,5,ceramic,models_core.json,0.6,0.85
vase_02,1,5,ceramic,models_core.json,0.6,0.85
spoon1,0.6,0.2,metal,models_core.json,0.6,0.65
glass3,0.7,2,glass,models_core.json,0.6,1.15
jug02,0.6,3,ceramic,models_core.json,0.6,0.65
atmosphere_nodo,0.3,1,cardboard,models_core.json,0.6,0.65
b05_table_new,0.01,135,wood,models_full.json,0.58,0.65
chair_willisau_riale,0.02,35,wood,models_core.json,0.58,0.65
chair_annabelle,0.02,35,wood,models_core.json,0.58,0.65
chair_eames_plastic_armchair,0.02,35,wood,models_core.json,0.58,0.65
iron_box,0.02,5,cardboard,models_full.json,0.5,0.65
metal_lab_shelf,0.02,330,metal,models_full.json,0.35,0.65
brown_leather_dining_chair,0.02,35,wood,models_core.json,0.58,0.65
int_kitchen_accessories_le_creuset_bowl_30cm,0.2,12,ceramic,models_full.json,0.625,0.65
ramp_with_platform,0.02,500,hardwood,models_special.json,0.5,0.65
enzo_industrial_loft_pine_metal_round_dining_table,0.02,200,wood,models_full.json,0.58,0.65
quatre_dining_table,0.01,250,wood,models_full.json,0.58,0.65
b05_candollarcoin,1,0.2,metal,models_full.json,0.35,0.65
b04_yamaha_portable_speaker,0.1,8,cardboard,models_full.json,0.7,0.65
monster_beats_studio,0.1,8,cardboard,models_core.json,0.7,0.65
small_table_green_marble,0.1,130,ceramic,models_core.json,0.625,0.65
b04_bottle-2014-2018,1,0.8,glass,models_full.json,0.5,0.65
b04_ramlosa_bottle_2015_vray,0.1,0.8,glass,models_full.json,0.5,0.65
spunlight_designermesh_lamp,1,10,metal,models_core.json,0.35,0.65
cr-96_bench,0.1,45,metal,models_full.json,0.35,0.65
b06_vodka,0.1,0.8,glass,models_full.json,0.5,0.65
elephant_bowl,1,8,ceramic,models_core.json,0.625,0.65
moet_chandon_bottle_vray,0.1,1.25,glass,models_full.json,0.5,0.65
034_vray,0.1,12,cardboard,models_full.json,0.7,0.65
display_cabinet_1_2012,0.01,275,wood,models_full.json,0.58,0.65
fetap611_telephone_(max_2011___v-ray),1,6,metal,models_full.json,0.35,0.65
serving_bowl,1,2,ceramic,models_core.json,0.625,0.65
b006_clyde-clock_vray,0.1,2,metal,models_full.json,0.35,0.65
vray_004,0.1,1,cardboard,models_full.json,0.7,0.65
iphone_5_vr_white,1,0.13,cardboard,models_full.json,0.7,0.65
clock,1,1,wood,models_full.json,0.58,0.65
display_cabinet_2_2012,0.01,200,wood,models_full.json,0.58,0.65
gas_stove,0.01,400,metal,models_full.json,0.35,0.65
f10_apple_iphone_4,1,0.13,cardboard,models_core.json,0.7,0.65
mailbox_toon_2013,1,3,metal,models_full.json,0.35,0.65
b05_knife_03,1,0.5,metal,models_full.json,0.35,0.65
live_edge_coffee_table,0.1,150,wood,models_core.json,0.58,0.65
skateboard_1,0.1,4,wood,models_full.json,0.58,0.65
cgaxis_models_22_33_vray,0.1,3,ceramic,models_full.json,0.625,0.65
b04_sword10,1,0.5,metal,models_full.json,0.35,0.65
b05_amati_red_violin,0.1,0.5,wood,models_full.json,0.58,0.65
b04_whiskeybottle,0.1,1.25,glass,models_full.json,0.5,0.65
arflex_strips_sofa,0.01,220,cardboard,models_core.json,0.2,0.65
b03_boat_fishing_02_null_11,0.1,2,metal,models_full.json,0.35,0.65
plate05,1,1,ceramic,models_full.json,0.625,0.65
bench,0.4,200,hardwood,models_full.json,0.1,0.25
